Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot96,"ThinkSlow",hard,41,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","23:36:57","23:39:08",
Bot97,"CharlieMike",easy,45,Failed,"Gate 2","Gate 2: Objective #1","1","23:36:57","23:39:35",
Bot98,"rayleefx",hard,33,Failed,"План «Перехват»","Item Химический контейнер","1","23:36:57","23:42:21",
Bot100,"DjLang",easy,43,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","23:36:57","23:41:07",
Bot101,"matt5brasil",hard,29,Failed,"Всё тайное становится явным","Item Проба из цистерны","1","23:36:58","23:40:19",
Bot102,"RaiRaiTheRaichu",easy,24,Failed,"Подчистить хвосты","Item Лабораторный журнал","1","23:36:58","23:37:01",
Bot103,"Спиридон Окунь",normal,1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","23:37:59","23:46:33",
Bot104,"Фаддей Крутой",easy,1,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","23:37:59","23:50:56",
Bot107,"Толя Бубл",easy,1,Active,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","23:39:25","N/A",
Bot108,"Гоги Бубелэдыс",normal,1,Active,"Dead Scav Room","Dead Scav Room: Objective #1","1","23:40:55","N/A",
Bot113,"Якун Ненаркоторговец",hard,1,Failed,"Forklift","Forklift: Objective #1","1","23:44:46","23:46:54",
Bot114,"Илюха Мятый",hard,1,Failed,"Customs Transit Jackets","Customs Transit Jackets: Objective #1","1","23:44:47","23:46:56",
Bot117,"Альвиан Печенег",easy,1,Active,"Med Tent","Med Tent: Objective #1","1","23:49:08","N/A",
Bot116,"Ваха Креатив",normal,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","23:49:09","23:50:00",
Bot119,"Таир Подзаборный",normal,1,Pending,"Silos Overlook Sniping","Silos Overlook Sniping: Objective #1","1","23:50:39","N/A",
Bot120,"Мэн Пупкин",normal,1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","23:50:39","N/A",
Bot118,"Кэл Таксист",normal,1,Active,"1st Floor Office","1st Floor Office: Objective #3","1","23:50:39","N/A",
[Not Spawned],"Самуил Веник",easy,1,,,,,,,
