Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"matt5brasil",easy,13,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:52:23","21:57:57",
Bot16,"Floppa",easy,14,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","21:52:23","21:56:03",
Bot17,"jfetko",normal,20,Failed,"Underground South","Underground South: Objective #4","1","21:52:24","22:00:53",
Bot18,"GIANT ENEMY CRAB",easy,20,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","21:52:24","21:52:40",
Bot19,"igorir3",easy,13,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","21:52:24","21:53:47",
Bot20,"Baliston",easy,4,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","21:52:26","21:52:31",
Bot21,"TR_LEOPAR",normal,14,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","21:52:38","22:00:03",
Bot22,"egbog",normal,17,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","2","21:52:38","22:08:12",
Bot31,"Валёк Вантуз",normal,1,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","22:01:33","22:10:08",
Bot32,"Дэнчик Бетон",normal,1,Pending,"Underground Entrance","Underground Entrance: Objective #3","1","22:01:34","N/A",
Bot33,"Егор Макака",normal,1,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","22:01:34","N/A",
Bot34,"Кэл Темный",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:01:35","22:07:27",
Bot35,"Ярик Клей",normal,1,Failed,"Tartowers","Tartowers: Objective #4","1","22:01:36","22:09:10",
Bot38,"Владик Стакан",normal,1,Completed,"Capital Insight","Capital Insight: Objective #2","1","22:05:37","22:10:29",
Bot38,"Владик Стакан",normal,1,Active,"Capital Insight","Capital Insight: Objective #3","1","22:10:34","N/A",
Bot43,"Никанор Снайлер",easy,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:08:18","22:10:04",
Bot43,"Никанор Снайлер",easy,1,Active,"Olive Restaurant","Olive Restaurant: Objective #2","1","22:10:09","N/A",
Bot44,"Мстислав Кабан",easy,1,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","22:08:25","N/A",
[Not Spawned],"Димон Мутнорылый",normal,1,,,,,,,
[Not Spawned],"Фома Дрищ",normal,1,,,,,,,
[Not Spawned],"Гоги Микроб",normal,1,,,,,,,
[Not Spawned],"Изя Чсвешник",normal,1,,,,,,,
[Not Spawned],"Эраст Сейсмолог",hard,1,,,,,,,
[Not Spawned],"Олежа Морисбудиш",hard,1,,,,,,,
[Not Spawned],"Микола Аниматор",normal,1,,,,,,,
