Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot50,"Bloom",normal,6,Completed,"Радикальные методы лечения","Zone Halloween_zone_for_antivirus(bigmap)","2","20:42:35","20:47:06",
Bot50,"Bloom",normal,6,Failed,"Умный в гору не пойдёт","Zone exit777","1","20:47:11","20:50:23",
Bot51,"loafedbread",hard,31,Failed,"Копаем глубже","Item Карбоновый кейс","1","20:42:35","20:52:08",
Bot52,"archon0ne",hard,28,Failed,"Шиномонтажка","Zone Wrong_wheels","1","20:42:36","20:54:18",
Bot53,"Juniper",hard,8,Completed,"Умный в гору не пойдёт","Zone exit777","1","20:42:37","20:43:25",
Bot53,"Juniper",hard,8,Failed,"Вымогатель","Zone dead_posylni","1","20:43:30","20:49:34",
Bot54,"jiblet",hard,39,Failed,"Military Base CP","Military Base CP: Objective #1","1","20:42:37","20:50:32",
Bot67,"Kaeno",normal,26,Completed,"Giving Trunk","Giving Trunk: Objective #1","1","20:50:21","21:02:50",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #2","1","21:02:55","21:06:50",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #1","1","21:06:56","21:07:02",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #3","1","21:07:07","21:07:25",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #4","1","21:07:30","21:07:49",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #5","1","21:07:54","21:08:06",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #7","1","21:08:11","21:10:59",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #8","1","21:11:04","21:11:08",
Bot67,"Kaeno",normal,26,Completed,"Storage","Storage: Objective #6","1","21:11:13","21:14:07",
Bot67,"Kaeno",normal,26,Completed,"Big Red","Big Red: Objective #2","1","21:14:12","21:16:23",
Bot68,"gaylatea",normal,25,Completed,"Садоводство. Часть 3","Zone place_SADOVOD_03","1","20:50:21","21:16:38",
Bot69,"Berryok",normal,19,Completed,"Садоводство. Часть 3","Zone place_SADOVOD_03","1","20:50:25","21:16:34",
Bot70,"OXIdiezd",normal,26,Failed,"Что-то мне это напоминает...","Zone zone_battlefield","1","20:50:45","20:55:00",
Bot71,"halik92",normal,34,Completed,"Московий","Zone gazel","1","20:50:46","20:58:52",
Bot71,"halik92",normal,34,Failed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:59:12","21:04:19",
Bot82,"Эраст Бутират",normal,1,Completed,"Passage between Rocks","Passage between Rocks: Objective #1","1","20:58:40","20:59:09",
Bot82,"Эраст Бутират",normal,1,Completed,"Checkpoint","Checkpoint: Objective #2","1","20:59:14","21:01:09",
Bot82,"Эраст Бутират",normal,1,Completed,"Checkpoint","Checkpoint: Objective #1","1","21:01:14","21:01:31",
Bot82,"Эраст Бутират",normal,1,Active,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","21:01:36","N/A",
Bot83,"Виталя Ботан",hard,1,Pending,"Fortress","Fortress: Objective #9","3","20:58:42","N/A",
Bot83,"Виталя Ботан",hard,1,Active,"Fortress","Fortress: Objective #6","1","21:12:11","N/A",
Bot84,"Матвей Опасный",normal,1,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","21:00:03","21:03:20",
Bot84,"Матвей Опасный",normal,1,Pending,"Boiler Building","Boiler Building: Objective #3","1","21:03:25","N/A",
Bot84,"Матвей Опасный",normal,1,Active,"Boiler Building","Boiler Building: Objective #2","1","21:15:47","N/A",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #1","1","21:04:24","21:04:42",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #2","1","21:04:48","21:05:00",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #6","1","21:05:05","21:05:19",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #5","1","21:05:24","21:05:39",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #3","1","21:05:44","21:06:04",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Substation","Substation: Objective #4","1","21:06:09","21:06:33",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","21:06:38","21:08:05",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #2","1","21:08:11","21:08:51",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Glass Building","Glass Building: Objective #4","1","21:08:56","21:10:27",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Glass Building","Glass Building: Objective #3","2","21:10:32","21:10:57",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Glass Building","Glass Building: Objective #1","1","21:11:02","21:11:26",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Glass Building","Glass Building: Objective #2","1","21:11:31","21:11:43",
Bot87,"Ваха Ненаркоторговец",normal,1,Completed,"Smokestack","Smokestack: Objective #1","1","21:11:48","21:12:37",
Bot89,"Кот Хук",normal,1,Active,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","21:16:17","N/A",
[Not Spawned],"Федосей Тактический",normal,1,,,,,,,
[Not Spawned],"Станислав Ихтиандр",normal,1,,,,,,,
[Not Spawned],"Тоха Дрищ",normal,1,,,,,,,
[Not Spawned],"Леоня Фраер",normal,1,,,,,,,
[Not Spawned],"Вован Обломов",normal,1,,,,,,,
[Not Spawned],"Арчи Брейк",normal,1,,,,,,,
[Not Spawned],"Эдуард Толстый",normal,1,,,,,,,
[Not Spawned],"Витёк Пакетик",normal,1,,,,,,,
[Not Spawned],"Пуш Фонарь",normal,1,,,,,,,
[Not Spawned],"Эдик Рэйдж",hard,1,,,,,,,
[Not Spawned],"Захар Чеклист",hard,1,,,,,,,
[Not Spawned],"Нойс Мавр",normal,1,,,,,,,
[Not Spawned],"Сева Морисбудиш",easy,1,,,,,,,
