Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot125,"Crimson",normal,29,Failed,"Убойный аргумент","Item Кейс Смотрителя","1","23:18:18","23:25:15",
Bot126,"TimmyGG",normal,24,Completed,"Подчистить хвосты","Zone nf2024_1","2","23:18:19","23:23:21",
Bot126,"TimmyGG",normal,24,Completed,"Врачебная тайна. Часть 3","Zone ter_015_area_1","1","23:23:26","23:26:57",
Bot126,"TimmyGG",normal,24,Pending,"Врачебная тайна. Часть 3","Item Проба крови","1","23:27:02","N/A",
Bot126,"TimmyGG",normal,24,Active,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","23:43:52","N/A",
Bot127,"doom",impossible,26,Completed,"Задержка поставки","Zone Lost_caravan","1","23:18:19","23:21:30",
Bot127,"doom",impossible,26,Failed,"Прикормка","Zone place_skier_12_3","1","23:21:35","23:25:00",
Bot128,"riku8405",normal,27,Failed,"Убойный аргумент","Item Кейс Смотрителя","1","23:18:19","23:34:52",
Bot129,"sarynkia",normal,20,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","23:18:19","23:36:48",
Bot129,"sarynkia",normal,20,Active,"Old Sawmill","Old Sawmill: Objective #4","1","23:36:54","N/A",
Bot130,"halik92",normal,16,Pending,"Подчистить хвосты","Zone nf2024_1","1","23:18:20","N/A",
Bot132,"5o2",normal,21,Pending,"Подстелить соломку","Zone Bunker_enter","1","23:18:27","N/A",
Bot136,"HiddenCirno",easy,11,Failed,"USEC Camp North","USEC Camp North: Objective #3","1","23:25:11","23:27:03",
Bot137,"KokaZ93",easy,22,Failed,"Водохлёб. Курьер","Zone place_2A2_unlock_3_woods","1","23:25:22","23:33:45",
Bot138,"OutsiderH",normal,29,Completed,"Врачебная тайна. Часть 3","Zone ter_015_area_1","1","23:25:36","23:27:01",
Bot138,"OutsiderH",normal,29,Failed,"Осведомлён значит вооружён","Zone place_skier_11_1","1","23:27:06","23:30:20",
Bot147,"Армен Мозголюб",easy,1,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","23:34:16","23:36:22",
Bot147,"Армен Мозголюб",easy,1,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","23:36:27","23:37:12",
Bot147,"Армен Мозголюб",easy,1,Active,"USEC Camp South","USEC Camp South: Objective #3","1","23:37:17","N/A",
Bot148,"Дрон Макаронина",normal,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","23:34:46","23:35:08",
Bot148,"Дрон Макаронина",normal,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","23:35:14","23:35:23",
Bot148,"Дрон Макаронина",normal,1,Completed,"Scav Base","Scav Base: Objective #1","5","23:35:28","23:37:34",
Bot148,"Дрон Макаронина",normal,1,Completed,"Scav Base","Scav Base: Objective #4","2","23:37:39","23:38:32",
Bot148,"Дрон Макаронина",normal,1,Completed,"Scav Base","Scav Base: Objective #3","1","23:38:37","23:39:01",
Bot148,"Дрон Макаронина",normal,1,Completed,"Scav Base","Scav Base: Objective #2","4","23:39:06","23:40:25",
Bot148,"Дрон Макаронина",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","23:40:30","23:44:27",
Bot148,"Дрон Макаронина",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","23:44:32","23:45:09",
Bot148,"Дрон Макаронина",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","23:45:14","23:45:50",
Bot149,"Фёдор Слесарь",normal,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:35:47","23:37:23",
Bot149,"Фёдор Слесарь",normal,1,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #2","1","23:37:28","23:38:59",
Bot150,"Гурам Фантомас",normal,1,Failed,"Scav House","Scav House: Objective #1","1","23:35:47","23:40:00",
Bot151,"Мэн ВДВ",easy,1,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","23:39:10","23:41:03",
Bot151,"Мэн ВДВ",easy,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","23:41:08","23:41:30",
Bot151,"Мэн ВДВ",easy,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #1","1","23:41:35","23:41:51",
Bot151,"Мэн ВДВ",easy,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","23:41:56","23:42:16",
Bot151,"Мэн ВДВ",easy,1,Active,"Sunken Village","Sunken Village: Objective #3","1","23:42:21","N/A",
[Not Spawned],"Колька Микроб",easy,1,,,,,,,
[Not Spawned],"Яков Алмазный",easy,1,,,,,,,
[Not Spawned],"Радик Упитыш",easy,1,,,,,,,
[Not Spawned],"Платон Полтинник",easy,1,,,,,,,
[Not Spawned],"Гурам Алмазный",normal,1,,,,,,,
[Not Spawned],"Лаг Секач",easy,1,,,,,,,
[Not Spawned],"Кабан Бубл",normal,1,,,,,,,
[Not Spawned],"Спиридон Михалыч",easy,1,,,,,,,
[Not Spawned],"Юрец Студент",easy,1,,,,,,,
[Not Spawned],"Валера Десинк",normal,1,,,,,,,
[Not Spawned],"Федосей Бидон",normal,1,,,,,,,
[Not Spawned],"Паштет Сигаретка",normal,1,,,,,,,
[Not Spawned],"Паисий Левый",easy,1,,,,,,,
[Not Spawned],"Батыр Вонючка",normal,1,,,,,,,
[Not Spawned],"Сява Пичот",normal,1,,,,,,,
[Not Spawned],"Владик Ебанько",easy,1,,,,,,,
