Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"JaydanCan",hard,28,Failed,"Containment Block Security Office","Containment Block Security Office: Objective #1","1","00:18:16","00:28:06",
Bot2,"Ngst",normal,12,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","00:18:16","00:18:21",
Bot2,"Ngst",normal,12,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","00:18:23","00:30:01",
Bot4,"Doge",normal,21,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","00:18:16","00:22:36",
Bot6,"TGDelta2455",hard,34,Failed,"Green Room","Green Room: Objective #8","1","00:18:16","00:26:21",
Bot7,"Nomad_420",easy,33,Failed,"Boss Hunter (bossGluhar)","Spawn Point (-178.15 0.11 -415.29)","1","00:18:16","00:20:41",
Bot3,"Anthal",normal,19,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","00:18:16","00:19:13",
Bot5,"1nco",hard,27,Failed,"Подбрасываем улики - Часть 2","Item Флеш-накопитель с изолентой","1","00:18:16","00:20:45",
