Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Big Chungus",easy,44,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","19:45:34","19:47:14",
Bot2,"igorir3",easy,7,Failed,"Conference Room","Conference Room: Objective #4","1","19:45:34","19:51:33",
Bot4,"TEOA",hard,42,Failed,"Сотрудник TerraGroup","Zone peace_027_area","1","19:45:34","19:48:06",
Bot5,"Bepis",normal,33,Failed,"Boss Hunter (bossGluhar)","Spawn Point (-199.41 4.13 -296.50)","1","19:45:34","19:47:54",
Bot1,"Logical Solutions",easy,22,Failed,"Admin Office","Admin Office: Objective #3","1","19:45:34","19:46:58",
Bot8,"PoppleO",easy,39,Failed,"Подбрасываем улики - Часть 2","Item Флеш-накопитель с изолентой","1","19:45:34","19:50:01",
Bot7,"Mauzy-Mir",easy,38,Failed,""След из хлебных крошек"","Item Магнитная кассета","1","19:45:34","19:45:36",
Bot7,"Mauzy-Mir",easy,38,Failed,""След из хлебных крошек"","Zone quest_zone_keeper7_saferoom","1","19:45:41","19:47:06",
Bot6,"SirTyler",normal,40,Failed,"Violet Room","Violet Room: Objective #1","1","19:45:34","19:51:12",
