Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot65,"inory",normal,15,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","22:22:37","22:45:33",
Bot67,"Cheese",normal,13,Completed,"Capital Insight","Capital Insight: Objective #2","1","22:22:38","22:26:11",
Bot67,"Cheese",normal,13,Completed,"Capital Insight","Capital Insight: Objective #3","1","22:26:16","22:27:58",
Bot67,"Cheese",normal,13,Completed,"Capital Insight","Capital Insight: Objective #1","1","22:28:03","22:30:14",
Bot67,"Cheese",normal,13,Failed,"Capital Insight","Capital Insight: Objective #4","1","22:30:19","22:36:00",
Bot66,"Waffle",normal,9,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","22:22:38","22:39:19",
Bot68,"Kobrakon",normal,16,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","22:22:40","22:38:41",
Bot69,"HiddenCirno",normal,12,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","22:22:45","22:26:10",
Bot70,"oidnacbdnjidbha",normal,15,Failed,"Tartowers","Tartowers: Objective #4","1","22:22:47","22:44:10",
Bot71,"CWX",easy,7,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","22:28:09","22:28:50",
Bot71,"CWX",easy,7,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","22:28:55","22:33:21",
Bot72,"Crimson",easy,14,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","22:28:10","22:28:22",
Bot76,"Джонатан Тамада",normal,1,Failed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","22:30:54","22:32:25",
Bot80,"Генка Яселька",normal,1,Completed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","2","22:32:35","22:36:02",
Bot80,"Генка Яселька",normal,1,Active,"Skyside Hotel","Skyside Hotel: Objective #1","1","22:36:08","N/A",
Bot85,"Савва Электроник",easy,1,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","22:33:46","22:34:08",
Bot85,"Савва Электроник",easy,1,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","22:34:14","22:35:37",
Bot86,"Серый Чебурашка",hard,1,Failed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","1","22:36:07","22:48:23",
Bot86,"Серый Чебурашка",hard,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","22:36:07","22:38:27",
Bot86,"Серый Чебурашка",hard,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","22:38:32","22:48:23",
Bot87,"Илья Слоупок",hard,1,Failed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","1","22:36:07","22:46:14",
Bot90,"Агафон ПХП",normal,1,Failed,"Underground North","Underground North: Objective #3","1","22:38:48","22:41:34",
Bot90,"Агафон ПХП",normal,1,Failed,"Underground North","Underground North: Objective #2","1","22:41:39","22:41:40",
Bot90,"Агафон ПХП",normal,1,Failed,"Underground North","Underground North: Objective #1","1","22:41:45","22:42:03",
Bot90,"Агафон ПХП",normal,1,Failed,"Underground North","Underground North: Objective #4","1","22:42:08","22:42:42",
Bot90,"Агафон ПХП",normal,1,Completed,"Underground North","Underground North: Objective #5","1","22:42:47","22:47:57",
Bot90,"Агафон ПХП",normal,1,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","22:48:02","N/A",
Bot94,"Армен Рожа",hard,1,Failed,"Capital Insight","Capital Insight: Objective #2","1","22:48:31","22:51:45",
Bot95,"Моня Госдеп",hard,1,Failed,"Capital Insight","Capital Insight: Objective #2","1","22:48:31","22:52:23",
Bot96,"Шурик Шустрила",hard,1,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","22:48:31","22:52:30",
Bot97,"Макс Арматура",hard,1,Failed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","22:48:32","22:51:18",
Bot98,"Димон Реаниматор",hard,1,Failed,"Capital Insight","Capital Insight: Objective #3","1","22:48:32","22:52:30",
Bot100,"Рудик Фриц",normal,1,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","22:51:20","22:51:36",
Bot100,"Рудик Фриц",normal,1,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:51:41","22:52:56",
Bot101,"Альвиан Штырь",normal,1,Active,"Kyshperski","Kyshperski: Objective #2","1","22:51:46","N/A",
Bot105,"Захар Чебур",normal,1,Active,"Underground North","Underground North: Objective #7","2","22:52:35","N/A",
Bot106,"Авксентий Шева",normal,1,Pending,"Skyside Hotel","Skyside Hotel: Objective #5","1","22:52:35","N/A",
