Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot83,"Big Chungus",normal,20,Pending,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:49:40","N/A",
Bot81,"poke123321",normal,10,Active,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:49:40","N/A",
Bot85,"Zmyh",normal,9,Pending,"Olive Restaurant","Olive Restaurant: Objective #6","1","21:49:40","N/A",
Bot82,"HereticJ",normal,13,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:49:40","21:54:49",
Bot84,"Rhyufer",normal,17,Pending,"Capital Insight","Capital Insight: Objective #3","1","21:49:41","N/A",
Bot89,"rpmwpm",hard,20,Active,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","21:54:52","N/A",
Bot91,"ChazLTK",hard,18,Pending,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","1","21:54:52","N/A",
Bot90,"Wrecker",hard,15,Pending,"Capital Insight","Capital Insight: Objective #2","1","21:54:52","N/A",
[Not Spawned],"Филя Крымский",hard,1,,,,,,,
[Not Spawned],"Руся Ферзь",normal,1,,,,,,,
[Not Spawned],"Толя Локализатор",normal,1,,,,,,,
[Not Spawned],"Стасик Бородач",normal,1,,,,,,,
[Not Spawned],"Марат Король",normal,1,,,,,,,
[Not Spawned],"Авдей Дирол",normal,1,,,,,,,
[Not Spawned],"Аркадий Чеклист",easy,1,,,,,,,
[Not Spawned],"Фёдор Боров",easy,1,,,,,,,
[Not Spawned],"Пётр Ебучий",easy,1,,,,,,,
[Not Spawned],"Саша Жислый",normal,1,,,,,,,
[Not Spawned],"Батыр Бутират",easy,1,,,,,,,
[Not Spawned],"Джек Морфлот",easy,1,,,,,,,
[Not Spawned],"Илюха Дряхлый",easy,1,,,,,,,
[Not Spawned],"Офицерский Лапа",easy,1,,,,,,,
[Not Spawned],"Пётр Коптёр",easy,1,,,,,,,
