Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Олег Мент",normal,1,Failed,"New Gas","New Gas: Objective #1","1","22:55:20","22:55:45",
Bot36,"Олег Мент",normal,1,Failed,"New Gas","New Gas: Objective #2","1","22:55:50","22:55:50",
Bot36,"Олег Мент",normal,1,Completed,"New Gas","New Gas: Objective #3","1","22:55:56","22:56:13",
Bot36,"Олег Мент",normal,1,Failed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","22:56:18","22:57:31",
Bot37,"Терентий Тулкит",normal,1,Failed,"OLI Logistics Trunk","OLI Logistics Trunk: Objective #1","1","22:55:20","22:56:35",
Bot38,"Юлиан Самогон",normal,1,Completed,"Repair Shop","Repair Shop: Objective #4","1","22:55:20","22:58:59",
Bot38,"Юлиан Самогон",normal,1,Failed,"Repair Shop","Repair Shop: Objective #1","1","22:59:04","23:00:55",
Bot39,"Олежа Комитов",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","22:55:20","22:58:47",
Bot40,"Севастьян Московский",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","22:55:20","22:56:26",
Bot41,"Стёпа Корявый",normal,1,Completed,"Power Switch","Power Switch: Objective #1","2","22:55:20","22:55:54",
Bot41,"Стёпа Корявый",normal,1,Completed,"Storage Building","Storage Building: Objective #2","1","22:55:59","23:07:56",
Bot41,"Стёпа Корявый",normal,1,Completed,"Fortress","Fortress: Objective #5","1","23:08:01","23:12:00",
Bot41,"Стёпа Корявый",normal,1,Active,"Fortress","Fortress: Objective #8","1","23:12:05","N/A",
Bot42,"Ваха Чужой",normal,1,Completed,"Dorms Camp 1","Dorms Camp 1: Objective #1","1","22:55:20","22:59:14",
Bot42,"Ваха Чужой",normal,1,Failed,"Factory Shacks","Factory Shacks: Objective #1","1","22:59:19","23:08:21",
Bot43,"Костыль Секретарь",normal,1,Failed,"Checkpoint","Checkpoint: Objective #2","1","22:55:20","22:57:18",
Bot44,"Ваня Герой",normal,1,Failed,"Warehouse 4","Warehouse 4: Objective #2","1","22:55:20","22:56:07",
Bot44,"Ваня Герой",normal,1,Failed,"Warehouse 4","Warehouse 4: Objective #3","1","22:56:12","22:56:29",
Bot44,"Ваня Герой",normal,1,Completed,"Warehouse 4","Warehouse 4: Objective #1","1","22:56:35","23:07:38",
Bot44,"Ваня Герой",normal,1,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","23:07:43","23:14:43",
Bot44,"Ваня Герой",normal,1,Active,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","23:14:48","N/A",
Bot45,"Андрей Динамит",normal,1,Completed,"Warehouse 4","Warehouse 4: Objective #1","1","22:55:20","22:55:59",
Bot45,"Андрей Динамит",normal,1,Pending,"Warehouse 4","Warehouse 4: Objective #3","1","22:56:04","N/A",
Bot45,"Андрей Динамит",normal,1,Active,"Fortress","Fortress: Objective #3","1","23:17:08","N/A",
Bot47,"Ngst",normal,21,Completed,"Passage between Rocks","Passage between Rocks: Objective #1","1","22:55:22","22:55:58",
Bot47,"Ngst",normal,21,Failed,"Реагент. Часть 1","Item Защищенный кейс для документов 0013","1","22:56:03","22:59:57",
Bot46,"All_Heil_Lord_Pepe",easy,36,Failed,"Деза","Item Ложный флеш-накопитель","1","22:55:22","23:09:18",
Bot48,"Gent",easy,35,Failed,"Деза","Item Ложный флеш-накопитель","1","22:55:23","23:09:52",
Bot49,"Digi",easy,43,Failed,"Деза","Item Ложный флеш-накопитель","1","22:55:24","23:15:50",
Bot50,"Waffle",easy,30,Failed,"Подбрасываем улики - Часть 2","Item Ложный флеш-накопитель","1","22:55:24","23:07:39",
Bot51,"Kobrakon",easy,43,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","22:55:26","23:15:45",
Bot80,"Boogle",hard,39,Active,"Glass Building","Glass Building: Objective #4","1","23:07:50","N/A",
Bot81,"CheekiBreeki",hard,41,Failed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","23:07:53","23:09:23",
Bot82,"kova",hard,5,Pending,"Инициация","Zone Killnewoil","1","23:07:54","N/A",
Bot83,"GopnikWarrior",normal,14,Failed,"Тряхнуть кассира","Zone room214","1","23:09:20","23:13:36",
Bot86,"Яков Правильный",normal,1,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","23:15:55","23:17:23",
Bot86,"Яков Правильный",normal,1,Active,"Factory Shacks","Factory Shacks: Objective #1","1","23:17:28","N/A",
Bot87,"Степан Очки",normal,1,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","23:15:55","N/A",
Bot88,"Трофим Фантомас",normal,1,Pending,"Bus Terminal","Bus Terminal: Objective #1","1","23:15:56","N/A",
Bot89,"Стёпа Макаронина",normal,1,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","23:15:56","N/A",
Bot93,"Юрец Бутовский",normal,1,Failed,"Boiler Building Office","Boiler Building Office: Objective #1","1","23:19:07","23:19:53",
