Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot57,"WillDaPope",normal,37,Failed,"Кровь войны. Часть 3","Zone bar_fuel3_2","1","20:54:52","21:03:45",
Bot58,"weewoo",normal,43,Completed,"Проверка. Часть 2","Zone meh_45_radio_area_mark_1","1","20:54:53","20:56:19",
Bot58,"weewoo",normal,43,Failed,"Проверка. Часть 2","Zone meh_45_radio_area_mark_2","1","20:56:29","21:03:36",
Bot59,"Bepis",easy,32,Completed,"Убойный аргумент","Item Кейс Смотрителя","1","20:54:53","20:57:26",
Bot59,"Bepis",easy,32,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2","2","20:57:32","20:59:55",
Bot59,"Bepis",easy,32,Pending,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2_1","1","21:00:00","N/A",
Bot59,"Bepis",easy,32,Active,"USEC Camp North","USEC Camp North: Objective #4","1","21:14:40","N/A",
Bot60,"kmyuhkyuk",easy,38,Completed,"Спецсвязь","Zone Place_item_tools_woods","2","20:54:53","21:02:06",
Bot60,"kmyuhkyuk",easy,38,Failed,"Scav Base","Scav Base: Objective #1","3","21:02:11","21:04:09",
Bot60,"kmyuhkyuk",easy,38,Failed,"Scav Base","Scav Base: Objective #4","2","21:04:14","21:06:06",
Bot61,"PudgeNubbins",hard,31,Completed,"Что-то мне это напоминает...","Zone Bear_in_car","2","20:54:54","20:56:37",
Bot61,"PudgeNubbins",hard,31,Completed,"Кровь войны. Часть 3","Zone bar_fuel3_3","1","20:56:42","21:00:30",
Bot61,"PudgeNubbins",hard,31,Failed,"Кровь войны. Часть 3","Zone bar_fuel3_2","1","21:01:00","21:13:59",
Bot62,"Berryok",normal,48,Failed,"Scav Base","Scav Base: Objective #2","1","20:54:54","20:59:40",
Bot64,"CharlieMike_EFT",easy,50,Failed,"RUAF Roadblock Sniping","RUAF Roadblock Sniping: Objective #1","1","20:54:55","21:05:19",
Bot63,"Straxus",hard,45,Failed,"Что-то мне это напоминает...","Zone Bear_in_car","1","20:54:55","21:14:43",
Bot71,"vargrasen",hard,12,Failed,"Scav Base","Scav Base: Objective #1","1","21:03:44","21:10:51",
Bot72,"7 TO 14 FERAL HOGS",hard,31,Failed,"Благодарность","Zone place_THX_15","1","21:03:44","21:20:26",
Bot73,"inory",normal,11,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_3","2","21:03:55","21:05:24",
Bot73,"inory",normal,11,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_1","2","21:05:29","21:08:55",
Bot73,"inory",normal,11,Failed,"Переиграть и уничтожить","Zone Zone_for_RPG_2","1","21:09:00","21:20:50",
Bot74,"zerowindy9406",hard,35,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_3","2","21:05:40","21:11:38",
