Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot14,"CheekiBreeki",easy,40,Completed,"Ответная услуга","Zone place_keeper5_2","2","20:07:22","20:09:12",
Bot14,"CheekiBreeki",easy,40,Completed,"Ответная услуга","Zone place_keeper5_1","2","20:09:17","20:10:24",
Bot14,"CheekiBreeki",easy,40,Completed,"Ответная услуга","Zone quest_zone_keeper5","2","20:10:30","20:13:50",
Bot14,"CheekiBreeki",easy,40,Failed,"Ответочка","Zone NosQuests_11_wood_place","1","20:13:55","20:15:28",
Bot14,"CheekiBreeki",easy,40,Pending,"Marked Circle Bunker","Marked Circle Bunker: Objective #1","1","20:15:29","N/A",
Bot14,"CheekiBreeki",easy,40,Pending,"Marked Circle Bunker","Marked Circle Bunker: Objective #3","1","20:28:46","N/A",
Bot14,"CheekiBreeki",easy,40,Active,"Marked Circle Bunker","Marked Circle Bunker: Objective #2","1","20:39:29","N/A",
Bot18,"Saryn",hard,2,Failed,"Scav Town","Scav Town: Objective #5","2","20:07:22","20:20:46",
Bot20,"Sugar",normal,26,Failed,"Секта. Часть 2","Zone place_peacemaker_007_2_N2","1","20:07:22","20:13:49",
Bot17,"VolcanoKevin",normal,13,Pending,"Scav House Sniping","Scav House Sniping: Objective #3","1","20:07:22","N/A",
Bot16,"openingspark860",normal,5,Failed,"Путь выживальщика. Запасливый","Zone huntsman_005_2","1","20:07:22","20:08:52",
Bot15,"Life",normal,24,Completed,"Устойчивый сигнал","Zone q14_8_4","1","20:07:22","20:11:56",
Bot15,"Life",normal,24,Pending,"Устойчивый сигнал","Zone q14_8_2","1","20:12:26","N/A",
Bot15,"Life",normal,24,Pending,"Scav House Sniping","Scav House Sniping: Objective #3","1","20:26:33","N/A",
Bot15,"Life",normal,24,Active,"Scav House Sniping","Scav House Sniping: Objective #2","1","20:36:21","N/A",
Bot19,"Cogy",normal,24,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_2","2","20:07:22","20:10:57",
Bot19,"Cogy",normal,24,Failed,"Переиграть и уничтожить","Zone Zone_for_RPG_1","1","20:11:02","20:19:39",
Bot21,"Skwizzy",normal,43,Failed,"Заказ со стороны","Zone Reb_keeper","1","20:07:23","20:13:40",
Bot26,"Pycak",hard,34,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2_1","2","20:08:53","20:13:09",
Bot26,"Pycak",hard,34,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2","2","20:13:14","20:19:18",
Bot26,"Pycak",hard,34,Pending,"Ленд-лиз. Часть 1","Item Контроллер мотора №1","1","20:19:23","N/A",
Bot26,"Pycak",hard,34,Active,"Ленд-лиз. Часть 1","Item Одноосный волоконно-оптический гироскоп №1","1","20:34:58","N/A",
Bot35,"Ростя Дипишмот",normal,1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","20:23:25","20:26:10",
Bot35,"Ростя Дипишмот",normal,1,Pending,"Old Sawmill","Old Sawmill: Objective #3","1","20:26:15","N/A",
Bot35,"Ростя Дипишмот",normal,1,Active,"Scav Base","Scav Base: Objective #2","1","20:38:33","N/A",
Bot37,"Васян Дирол",normal,1,Active,"USEC Camp South","USEC Camp South: Objective #1","2","20:23:33","N/A",
Bot36,"Пров Погон",normal,1,Failed,"Scav Bunker","Scav Bunker: Objective #1","1","20:23:34","20:24:40",
Bot36,"Пров Погон",normal,1,Completed,"Scav Bunker","Scav Bunker: Objective #3","2","20:24:45","20:26:46",
Bot36,"Пров Погон",normal,1,Completed,"Scav Bunker","Scav Bunker: Objective #2","2","20:26:51","20:27:40",
Bot36,"Пров Погон",normal,1,Failed,"Convoy","Convoy: Objective #2","1","20:27:45","20:28:34",
Bot36,"Пров Погон",normal,1,Failed,"Convoy","Convoy: Objective #1","1","20:28:40","20:36:22",
Bot38,"Федот Арахис",hard,1,Failed,"Scav Base","Scav Base: Objective #1","3","20:24:54","20:26:08",
Bot38,"Федот Арахис",hard,1,Failed,"Scav Base","Scav Base: Objective #4","2","20:26:13","20:26:50",
Bot38,"Федот Арахис",hard,1,Completed,"Scav Base","Scav Base: Objective #3","1","20:26:55","20:28:22",
Bot38,"Федот Арахис",hard,1,Completed,"Scav Base","Scav Base: Objective #2","4","20:28:27","20:30:38",
Bot38,"Федот Арахис",hard,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","20:30:43","20:32:05",
Bot38,"Федот Арахис",hard,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","20:32:10","20:32:55",
Bot38,"Федот Арахис",hard,1,Active,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:33:00","N/A",
[Not Spawned],"Арсен Мурзила",normal,1,,,,,,,
[Not Spawned],"Святополк Чекист",normal,1,,,,,,,
[Not Spawned],"Агафон Милота",easy,1,,,,,,,
[Not Spawned],"Мэн Упитыш",normal,1,,,,,,,
[Not Spawned],"Созон Кочерга",normal,1,,,,,,,
[Not Spawned],"Фома Копченый",normal,1,,,,,,,
[Not Spawned],"Арчи Бибис",normal,1,,,,,,,
[Not Spawned],"Серега Мент",easy,1,,,,,,,
[Not Spawned],"Боря Мавр",easy,1,,,,,,,
[Not Spawned],"Изя Упитыш",easy,1,,,,,,,
[Not Spawned],"Мишаня Котофей",easy,1,,,,,,,
[Not Spawned],"Стасик Зуко",easy,1,,,,,,,
[Not Spawned],"Коля Дикий",normal,1,,,,,,,
[Not Spawned],"Якун Турбо",normal,1,,,,,,,
[Not Spawned],"Вантуз Сколопендра",hard,1,,,,,,,
[Not Spawned],"Арчи Джин",normal,1,,,,,,,
[Not Spawned],"Филат Ебучий",easy,1,,,,,,,
