Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot191,"Markosz",easy,18,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","23:06:18","23:14:16",
Bot192,"Virtual",hard,19,Failed,"Underground South","Underground South: Objective #4","1","23:06:18","23:08:42",
Bot195,"Queen-Goddess",easy,17,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","23:06:19","23:10:26",
Bot194,"Nootropix",normal,14,Failed,"Первый в очереди","Zone Sandbox_1_MedicalArea_exploration","1","23:06:19","23:06:23",
Bot194,"Nootropix",normal,14,Failed,"Хрупкий груз","Zone Sandbox_3_Vino_exploration","1","23:06:28","23:07:44",
Bot193,"savid_dubs",hard,13,Pending,"Olive Restaurant","Olive Restaurant: Objective #3","1","23:06:19","N/A",
Bot196,"Sugar",hard,20,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","23:06:19","23:06:58",
Bot197,"DocYen",hard,4,Failed,"Capital Insight","Capital Insight: Objective #4","1","23:07:35","23:09:22",
Bot198,"Corty",hard,20,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","23:07:36","23:08:46",
Bot202,"Деня Белый",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:13:16","23:14:55",
Bot202,"Деня Белый",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","23:15:00","23:15:04",
Bot202,"Деня Белый",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","23:15:09","23:15:32",
Bot202,"Деня Белый",easy,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","23:15:37","23:15:41",
Bot202,"Деня Белый",easy,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","23:15:46","N/A",
Bot201,"Ботир Вантуз",easy,1,Failed,"Underground North","Underground North: Objective #3","1","23:13:17","23:16:35",
Bot201,"Ботир Вантуз",easy,1,Completed,"Underground North","Underground North: Objective #2","1","23:16:40","23:16:43",
Bot201,"Ботир Вантуз",easy,1,Completed,"Underground North","Underground North: Objective #4","2","23:16:48","23:17:21",
Bot201,"Ботир Вантуз",easy,1,Active,"Underground North","Underground North: Objective #5","1","23:17:26","N/A",
Bot205,"Влад Ебанько",normal,1,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","23:15:49","23:19:14",
Bot205,"Влад Ебанько",normal,1,Failed,"Capital Insight","Capital Insight: Objective #5","3","23:19:15","23:22:07",
Bot206,"Архипп Женатик",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","23:16:08","N/A",
Bot207,"Мстислав Каша",easy,1,Completed,"Underground North","Underground North: Objective #5","1","23:17:08","23:18:51",
Bot207,"Мстислав Каша",easy,1,Active,"Underground North","Underground North: Objective #6","1","23:18:56","N/A",
Bot209,"Ярослав Пукан",easy,1,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","23:17:20","23:17:31",
Bot209,"Ярослав Пукан",easy,1,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","23:17:36","23:18:26",
Bot209,"Ярослав Пукан",easy,1,Active,"Skyside Hotel","Skyside Hotel: Objective #3","1","23:18:31","N/A",
Bot213,"Пров Разведос",hard,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","23:22:11","23:23:28",
Bot213,"Пров Разведос",hard,1,Active,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","23:23:34","N/A",
[Not Spawned],"Тимофей Жислый",normal,1,,,,,,,
[Not Spawned],"Павлик Чучело",normal,1,,,,,,,
[Not Spawned],"Тоха Молоко",normal,1,,,,,,,
[Not Spawned],"Шингис Неудачник",normal,1,,,,,,,
[Not Spawned],"Митрофан Печенег",normal,1,,,,,,,
[Not Spawned],"Батыр Добби",normal,1,,,,,,,
[Not Spawned],"Стас Робокоп",easy,1,,,,,,,
[Not Spawned],"Юрец Вроттердам",normal,1,,,,,,,
