Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot17,"adudewithbadaim",normal,38,Active,"Цена независимости","Item Письмо с компроматом","1","20:14:00","N/A",
Bot15,"Fin",normal,17,Completed,"Груз X. Часть 2","Item Защищенный кейс для документов 0013","1","20:14:00","20:15:43",
Bot15,"Fin",normal,17,Failed,"Большой заказчик","Zone gazel","1","20:15:48","20:25:43",
Bot18,"Colonel",easy,21,Failed,"Тряхнуть кассира","Item Банковский кейс","1","20:14:00","20:18:10",
Bot16,"Devraccoon",hard,15,Failed,"Нефтянка","Zone fuel4","1","20:14:00","20:14:37",
Bot16,"Devraccoon",hard,15,Completed,"Нефтянка","Zone fuel2","1","20:15:07","20:26:14",
Bot16,"Devraccoon",hard,15,Completed,"Сафари на тигра","Zone place_peacemaker_002_N3","1","20:26:44","20:27:18",
Bot19,"TheSparta",easy,15,Failed,"Рандеву с надеждой","Zone huntsman_020","1","20:14:01","20:18:48",
Bot20,"Platinum",normal,22,Failed,"Цена независимости","Item Письмо с компроматом","1","20:14:01","20:23:16",
Bot21,"1nco",easy,37,Failed,"Обоснованное вмешательство","Item Отчёт о транспортировке грузов TerraGroup","1","20:14:01","20:20:19",
Bot27,"Berryok",impossible,27,Active,"Реагент. Часть 4","Zone gazel","1","20:20:22","N/A",
Bot28,"Crokci",impossible,9,Pending,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","20:20:23","N/A",
Bot29,"Cannuccia",impossible,29,Failed,"Шиномонтажка","Zone Wrong_wheels","1","20:20:24","20:27:17",
[Not Spawned],"Севастьян Инстаграмщик",easy,1,,,,,,,
[Not Spawned],"Кот Ижевчанин",normal,1,,,,,,,
[Not Spawned],"Степа Мудрый",easy,1,,,,,,,
[Not Spawned],"Никита Питерский",normal,1,,,,,,,
[Not Spawned],"Мэн Сишарп",easy,1,,,,,,,
[Not Spawned],"Рустам Протокол",easy,1,,,,,,,
[Not Spawned],"Макар Кепка",hard,1,,,,,,,
[Not Spawned],"Алекс Пионер",normal,1,,,,,,,
[Not Spawned],"Гиви Фикус",easy,1,,,,,,,
[Not Spawned],"Мирослав Упырь",easy,1,,,,,,,
[Not Spawned],"Сява Дерзкий",normal,1,,,,,,,
[Not Spawned],"Гога Милота",normal,1,,,,,,,
[Not Spawned],"Олежа Госдеп",easy,1,,,,,,,
[Not Spawned],"Руся Мальчик",normal,1,,,,,,,
[Not Spawned],"Пантелеймон Табурет",hard,1,,,,,,,
[Not Spawned],"Саня Руки-лопаты",easy,1,,,,,,,
[Not Spawned],"Сева Отбитый",normal,1,,,,,,,
[Not Spawned],"Пётр Пончелло",normal,1,,,,,,,
