Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot25,"Miraki",hard,44,Failed,"Boss Hunter (pmcBot)","Spawn Point (-213.12 0.05 -378.76)","1","20:42:26","20:51:32",
Bot26,"ShiftedFocus",easy,7,Failed,"Не верь глазам своим","Zone Halloween_lab_section1","1","20:42:26","20:43:13",
Bot27,"HANAVI",normal,20,Failed,"Cafeteria","Cafeteria: Objective #2","1","20:42:26","20:43:35",
Bot30,"All_Heil_Lord_Pepe",normal,30,Failed,"Boss Hunter (pmcBot)","Spawn Point (-199.41 4.13 -296.50)","1","20:42:27","20:47:42",
Bot29,"Paulov",hard,18,Failed,"Conference Room","Conference Room: Objective #4","1","20:42:27","21:07:35",
Bot31,"XkaOnslaught",hard,21,Failed,"Admin Office","Admin Office: Objective #3","1","20:42:27","20:42:33",
Bot32,"Virtual",hard,38,Failed,"Parking","Parking: Objective #3","1","20:42:28","20:42:32",
