Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot137,"poke123321",hard,11,Failed,"Тарков не прощает ошибок","Zone Sandbox_mine_quest","1","22:28:10","22:30:15",
Bot138,"ObiOne",easy,18,Failed,"Стрельба по баночкам","Zone Sandbox_2_AGS_exploration","1","22:28:10","22:38:36",
Bot139,"Drill",normal,19,Failed,"Стрельба по баночкам","Zone Sandbox_2_Kord_exploration","1","22:28:10","22:34:40",
Bot140,"Jiro",normal,12,Failed,"Capital Insight","Capital Insight: Objective #4","1","22:28:10","22:31:42",
Bot141,"Floppa",hard,19,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","22:28:10","22:30:30",
Bot142,"Spock",hard,16,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","22:28:11","22:28:16",
Bot143,"Zmyh",hard,14,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","22:28:12","22:28:19",
Bot144,"Lillian",normal,12,Failed,"Спасение крота","Zone Sandbox_5_DeadGroup_exploration","1","22:28:23","22:29:34",
Bot148,"Дэнчик Ветка",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","22:35:15","22:35:33",
Bot148,"Дэнчик Ветка",normal,1,Failed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","22:35:38","22:37:48",
Bot150,"Шурик Насос",normal,1,Completed,"Kyshperski","Kyshperski: Objective #1","1","22:35:15","22:42:35",
Bot150,"Шурик Насос",normal,1,Failed,"Kyshperski","Kyshperski: Objective #2","1","22:42:40","22:42:53",
Bot150,"Шурик Насос",normal,1,Completed,"Kyshperski","Kyshperski: Objective #4","2","22:42:58","22:43:19",
Bot150,"Шурик Насос",normal,1,Completed,"Kyshperski","Kyshperski: Objective #3","1","22:43:24","22:43:42",
Bot150,"Шурик Насос",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","22:43:47","22:48:26",
Bot149,"Гарри Чирий",normal,1,Completed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","2","22:35:15","22:42:29",
Bot149,"Гарри Чирий",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","22:42:34","22:53:29",
Bot151,"Святослав Упитыш",easy,1,Active,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","22:35:19","N/A",
Bot154,"Афанасий Киба",easy,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","22:37:40","N/A",
Bot155,"Арчи Подствол",normal,1,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","22:38:50","22:39:39",
Bot155,"Арчи Подствол",normal,1,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:39:44","22:40:08",
Bot155,"Арчи Подствол",normal,1,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","22:40:13","22:42:24",
Bot161,"Альвиан Джойстик",easy,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:40:01","N/A",
Bot162,"Архипп Хипстер",normal,1,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","22:40:22","22:50:25",
Bot162,"Архипп Хипстер",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:50:26","N/A",
Bot163,"Илюша Морпех",easy,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","22:42:25","22:43:44",
Bot163,"Илюша Морпех",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","22:43:49","22:47:35",
Bot168,"Игорян Хитрожопый",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","22:47:36","22:52:09",
Bot169,"Аркадий Заводской",easy,1,Completed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","2","22:48:29","22:50:19",
Bot169,"Аркадий Заводской",easy,1,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","22:50:24","22:53:39",
Bot172,"Эльдар Конченный",hard,1,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","22:52:11","22:53:43",
Bot173,"Петя Академик",easy,1,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","22:53:30","22:55:27",
Bot174,"Шурик Мукунзор",normal,1,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","22:53:41","22:54:53",
Bot174,"Шурик Мукунзор",normal,1,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","22:54:59","N/A",
Bot175,"Жека Потный",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:53:52","N/A",
