Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot136,"OkaMoez",normal,33,Completed,"Containment Block Power Switch","Containment Block Power Switch: Objective #1","2","00:07:31","00:15:00",
Bot136,"OkaMoez",normal,33,Failed,"Containment Block Bedroom","Containment Block Bedroom: Objective #1","2","00:15:05","00:17:56",
Bot137,"PenOkOh",easy,32,Failed,"Violet Room","Violet Room: Objective #1","1","00:07:31","00:09:02",
Bot139,"nidhoeggr",normal,16,Failed,"Непарадный Тарков","Zone Transits_streets","1","00:07:32","00:08:26",
Bot138,"Ayre",normal,34,Failed,""След из хлебных крошек"","Zone quest_zone_keeper7_saferoom","1","00:07:32","00:36:38",
Bot141,"ngage",normal,41,Failed,""След из хлебных крошек"","Zone quest_zone_keeper7_test","1","00:07:32","00:10:34",
Bot142,"captainfoam",easy,45,Failed,"Boss Hunter (bossGluhar)","Spawn Point (-213.12 0.05 -378.76)","1","00:07:32","00:07:55",
Bot145,"Terkoiz",easy,42,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","00:07:33","00:07:37",
