Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot232,"Borkel",impossible,31,Failed,"Московий","Zone gazel","1","23:43:13","00:03:59",
Bot230,"wara",hard,28,Failed,"Short Cut","Short Cut: Objective #1","1","23:43:13","23:50:48",
Bot231,"NastyInc",normal,29,Failed,"Брошенный груз","Zone TerragroupBOX_2","1","23:43:13","23:44:23",
Bot229,"weeny",impossible,16,Completed,"Провизор","Zone vaz_feld","1","23:43:13","23:45:38",
Bot229,"weeny",impossible,16,Active,"Провизор","Item Карбоновый кейс","1","23:45:43","N/A",
Bot233,"Skeeze",impossible,15,Pending,"Вымогатель","Zone vremyan_case","1","23:43:14","N/A",
Bot234,"epidemicz",hard,35,Failed,"Брошенный груз","Zone TerragroupBOX_1","1","23:43:14","23:54:18",
Bot235,"Belette",hard,13,Failed,"Легкие деньги. Часть 1","Zone place_flyers1","1","23:43:15","23:56:51",
Bot244,"GopnikWarrior",easy,20,Completed,"Train Car","Train Car: Objective #1","1","23:51:02","23:51:28",
Bot244,"GopnikWarrior",easy,20,Completed,"Substation","Substation: Objective #6","1","23:51:33","23:53:09",
Bot244,"GopnikWarrior",easy,20,Completed,"Substation","Substation: Objective #2","1","23:53:14","23:55:33",
Bot244,"GopnikWarrior",easy,20,Completed,"Substation","Substation: Objective #3","1","23:55:38","23:56:19",
Bot244,"GopnikWarrior",easy,20,Active,"Substation","Substation: Objective #5","1","23:56:24","N/A",
Bot245,"Hupfi",easy,30,Pending,"Что-то мне это напоминает...","Zone zone_vedro","1","23:51:03","N/A",
Bot250,"PhantomInTime",easy,29,Failed,"Страсть к эргономике","Item Набор модернированных инструментов","1","23:54:20","23:54:46",
Bot250,"PhantomInTime",easy,29,Failed,"Вот Это Находка — Часть 2","Item Защищенный кейс для документов 0022","1","23:54:52","23:57:20",
Bot250,"PhantomInTime",easy,29,Active,"Вот Это Находка — Часть 2","Item Защищенный кейс для документов 0031","1","23:57:26","N/A",
Bot257,"Санёк Трехмерный",normal,1,Failed,"Industrial Plant","Industrial Plant: Objective #1","1","23:59:14","00:00:18",
Bot257,"Санёк Трехмерный",normal,1,Completed,"Industrial Plant","Industrial Plant: Objective #3","1","00:00:24","00:00:39",
Bot257,"Санёк Трехмерный",normal,1,Failed,"Industrial Plant","Industrial Plant: Objective #2","1","00:00:44","00:00:49",
Bot257,"Санёк Трехмерный",normal,1,Completed,"Industrial Plant","Industrial Plant: Objective #10","1","00:00:54","00:04:31",
Bot257,"Санёк Трехмерный",normal,1,Active,"Industrial Plant","Industrial Plant: Objective #12","1","00:04:36","N/A",
[Not Spawned],"Костыль Скульптор",normal,1,,,,,,,
[Not Spawned],"Жека Арматура",normal,1,,,,,,,
[Not Spawned],"Дроп Могила",normal,1,,,,,,,
[Not Spawned],"Александр Хрыч",hard,1,,,,,,,
[Not Spawned],"Иван Полторашка",hard,1,,,,,,,
[Not Spawned],"Санька Минералка",hard,1,,,,,,,
[Not Spawned],"Николай Зевс",normal,1,,,,,,,
[Not Spawned],"Фаддей Трудовик",normal,1,,,,,,,
[Not Spawned],"Изя Белый",normal,1,,,,,,,
[Not Spawned],"Слава Хрящ",normal,1,,,,,,,
[Not Spawned],"Кондратий Забор",normal,1,,,,,,,
[Not Spawned],"Шурик Ебанько",easy,1,,,,,,,
[Not Spawned],"Армен Соломон",normal,1,,,,,,,
[Not Spawned],"Ашот Планчик",normal,1,,,,,,,
[Not Spawned],"Колян Мерс",easy,1,,,,,,,
[Not Spawned],"Эдик Инстаграмщик",easy,1,,,,,,,
[Not Spawned],"Валя Шашлыки",easy,1,,,,,,,
