Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"Maklane",normal,15,Failed,"Устойчивый сигнал","Zone q14_8_4","1","21:02:02","21:11:54",
Bot20,"worshipme",hard,11,Failed,"Поручение","Item Зашифрованное сообщение","1","21:02:02","21:03:50",
Bot17,"Oraceon",normal,14,Failed,"Scav Base","Scav Base: Objective #2","1","21:02:03","21:17:13",
Bot21,"STUOKD",hard,28,Pending,"Что-то мне это напоминает...","Zone Bear_in_car","1","21:02:03","N/A",
Bot22,"RainbowPC",hard,30,Failed,"VEX Beach","VEX Beach: Objective #1","1","21:02:03","21:04:04",
Bot18,"NugentGL",normal,6,Failed,"Путь выживальщика. Запасливый","Zone huntsman_005_1","1","21:02:03","21:10:40",
Bot18,"NugentGL",normal,6,Completed,"Путь выживальщика. Запасливый","Zone huntsman_005_2","2","21:10:41","21:15:54",
Bot18,"NugentGL",normal,6,Failed,"Переиграть и уничтожить","Zone Zone_for_RPG_2","1","21:15:59","21:30:15",
Bot23,"sarynkia",normal,17,Failed,"Scav Base","Scav Base: Objective #1","4","21:02:03","21:11:24",
Bot24,"NikitaWaifu",easy,28,Failed,"Водохлёб. Курьер","Zone place_2A2_unlock_3_woods","2","21:02:03","21:03:15",
Bot30,"PudgeNubbins",easy,17,Completed,"Устойчивый сигнал","Zone q14_8_3","1","21:03:17","21:03:58",
Bot30,"PudgeNubbins",easy,17,Completed,"Устойчивый сигнал","Zone q14_8_2","1","21:04:28","21:06:31",
Bot30,"PudgeNubbins",easy,17,Failed,"Устойчивый сигнал","Zone q14_8_1","1","21:07:01","21:24:08",
Bot31,"beamyy",normal,16,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2","2","21:03:51","21:06:23",
Bot31,"beamyy",normal,16,Failed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2_1","1","21:06:28","21:13:33",
Bot32,"TGDelta2455",easy,20,Completed,"Спрятать на видном месте","Zone new_year_2024_market_woods","1","21:04:05","21:04:57",
Bot32,"TGDelta2455",easy,20,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2","2","21:05:02","21:06:09",
Bot32,"TGDelta2455",easy,20,Completed,"Малое предпринимательство. Часть 3","Zone place_peacemaker_007_2_N2_1","2","21:06:14","21:13:21",
Bot32,"TGDelta2455",easy,20,Failed,"Закрыть небо","Item Устройство радиоэлектронного подавления БПЛА КОСА","1","21:13:26","21:16:30",
Bot37,"Hubert",impossible,20,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_2","2","21:11:25","21:12:56",
Bot37,"Hubert",impossible,20,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_1","2","21:13:01","21:16:17",
Bot37,"Hubert",impossible,20,Completed,"Переиграть и уничтожить","Zone Zone_for_RPG_3","2","21:16:22","21:19:04",
Bot37,"Hubert",impossible,20,Failed,"Marked Circle Bunker","Marked Circle Bunker: Objective #1","1","21:19:09","21:27:12",
Bot41,"Пантелеймон Бобыха",normal,1,Failed,"Scav Base","Scav Base: Objective #2","2","21:18:06","21:28:03",
Bot42,"Гиви Хорс",normal,1,Failed,"Scav Base","Scav Base: Objective #2","1","21:18:06","21:28:05",
Bot43,"Донатий Фартовый",normal,1,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","21:18:16","21:19:36",
Bot43,"Донатий Фартовый",normal,1,Failed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #2","1","21:19:41","21:25:33",
Bot43,"Донатий Фартовый",normal,1,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","3","21:25:38","21:26:44",
Bot43,"Донатий Фартовый",normal,1,Active,"Scav Base","Scav Base: Objective #3","1","21:26:49","N/A",
